ticker,wikipedia_page
# ============================================================================,
# NZX COMPANY PAGES - Direct company attention/sentiment signals,
# Research: Wikipedia attention spikes often precede stock price movements,
"# (Moat et al. 2013 - ""Quantifying Wikipedia Usage Patterns Before Stock Market Moves"")",
# ============================================================================,
AIR.NZ,Air_New_Zealand
ANZ.NZ,ANZ_Bank_New_Zealand
FPH.NZ,Fisher_%26_Paykel_Healthcare
SPK.NZ,Spark_New_Zealand
MEL.NZ,Meridian_Energy
MFT.NZ,Mainfreight
SKC.NZ,SkyCity_Entertainment_Group
RYM.NZ,Ryman_Healthcare
FBU.NZ,Fletcher_Building
CEN.NZ,Contact_Energy
POT.NZ,Port_of_Tauranga
AIA.NZ,Auckland_International_Airport
EBO.NZ,Ebos_Group
GMT.NZ,Goodman_Property_Trust
SKT.NZ,Sky_Network_Television
NZX.NZ,NZX_Limited
FRE.NZ,Freightways
KMD.NZ,Kathmandu_Holdings
ZEL.NZ,Z_Energy
HLG.NZ,Hallenstein_Glasson_Holdings
NZR.NZ,The_New_Zealand_Refining_Company
SAN.NZ,Sanford_(company)
AFT.NZ,AFT_Pharmaceuticals
THL.NZ,Tourism_Holdings
TRA.NZ,Turners_Automotive_Group
ERD.NZ,EROAD
ARV.NZ,Arvida_Group
OCA.NZ,Oceania_Healthcare
SUM.NZ,Summerset_Group
SKL.NZ,Skellerup_Holdings
CVT.NZ,Comvita
SCL.NZ,Scales_Corporation
PGW.NZ,PGG_Wrightson
TWR.NZ,Tower_Limited
STU.NZ,Steel_%26_Tube
VGL.NZ,Vista_Group_International
IKE.NZ,ikeGPS_Group
PPH.NZ,Pushpay_Holdings
MOV.NZ,Move_Logistics
GNE.NZ,Genesis_Energy_Limited
VCT.NZ,Vector_Limited
TPW.NZ,Trustpower
MCY.NZ,Mercury_NZ
IFT.NZ,Infratil
KPG.NZ,Kiwi_Property_Group
PCT.NZ,Precinct_Properties_New_Zealand
ARG.NZ,Argosy_Property
# ============================================================================,
# NEW ZEALAND MACRO/ECONOMIC PAGES - Country-level sentiment,
# ============================================================================,
,Reserve_Bank_of_New_Zealand
,Economy_of_New_Zealand
,New_Zealand_dollar
,Auckland
,Wellington
,Christchurch
,New_Zealand_Stock_Exchange
,Fonterra
,Dairy_farming_in_New_Zealand
,Tourism_in_New_Zealand
,Immigration_to_New_Zealand
,New_Zealand_housing_bubble
# ============================================================================,
# FEAR/CRISIS INDICATORS - Spike during market stress,
"# Research: Preis et al. (2013) - ""Quantifying Trading Behavior in Financial Markets",
"# Using Google Trends"" - found ""debt"" searches predict market declines",
# ============================================================================,
,Financial_crisis
,Stock_market_crash
,Recession
,Inflation
,Deflation
,Bank_run
,Bankruptcy
,Default_(finance)
,Credit_crunch
,Subprime_mortgage_crisis
,2008_financial_crisis
,Great_Depression
,Unemployment
,Layoff
,Bear_market
,Market_correction
,Black_Monday_(1987)
,Panic_selling
,Economic_bubble
# ============================================================================,
# INTEREST RATE / MONETARY POLICY - Central bank attention,
# ============================================================================,
,Interest_rate
,Federal_Reserve
,European_Central_Bank
,Bank_of_England
,Quantitative_easing
,Monetary_policy
,Fiscal_policy
,Government_debt
,National_debt_of_the_United_States
,Bond_market
,Treasury_security
,Yield_curve
,Inverted_yield_curve
# ============================================================================,
# COMMODITY PAGES - Relevant to NZX export economy,
# ============================================================================,
,Dairy
,Milk
,Whole_milk_powder
,Lamb_and_mutton
,Wool
,Beef
,Wine
,Kiwifruit
,Forestry_in_New_Zealand
,Gold
,Oil_price
,Crude_oil
,Natural_gas
,Copper
,Iron_ore
,Lithium
,Uranium
# ============================================================================,
# GLOBAL TRADE / GEOPOLITICS - External shock indicators,
# ============================================================================,
,Trade_war
,Tariff
,China%E2%80%93United_States_trade_war
,Brexit
,Sanctions
,Supply_chain
,Shipping_container
,Global_supply_chain_crisis
,Free_trade_agreement
,Trans-Pacific_Partnership
# ============================================================================,
# TECHNOLOGY / INNOVATION - Growth sector sentiment,
# ============================================================================,
,Artificial_intelligence
,Machine_learning
,Cloud_computing
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
# ============================================================================,
# REAL ESTATE - Housing market sentiment,
# Research: Searches for real estate terms correlate with housing activity,
# ============================================================================,
,Real_estate
,Housing_market
,Mortgage_loan
,House_price_index
,Property_bubble
,Foreclosure
,First-time_buyer
# ============================================================================,
# EMPLOYMENT / LABOR MARKET,
# ============================================================================,
,Employment
,Job_hunting
,Resume
,LinkedIn
,Minimum_wage
,
,Remote_work
# ============================================================================,
# HEALTH / PANDEMIC - Major market disruptors,
# ============================================================================,
,COVID-19
,COVID-19_pandemic
,Pandemic
,Vaccine
,World_Health_Organization
,Lockdown
,Travel_restrictions
,
,
,
,
,
,
,
,
,
,
# ============================================================================,
# AUSTRALIA/PACIFIC REGION - NZ's major trading partner,
# ============================================================================,
,Economy_of_Australia
,Reserve_Bank_of_Australia
,Australian_dollar
,China%E2%80%93Australia_relations
,Trans-Tasman_travel_arrangement
# ============================================================================,
# CHINA - NZ's largest trading partner,
# ============================================================================,
,Economy_of_China
,Chinese_yuan
,Belt_and_Road_Initiative
,China%E2%80%93New_Zealand_relations
,Alibaba_Group
# ============================================================================,
# INVESTMENT / TRADING BEHAVIOR INDICATORS,
# Research: Searches for financial terms indicate market participation,
# ============================================================================,
,Stock_market
,Day_trading
,Index_fund
,Exchange-traded_fund
,Dividend
,Portfolio_(finance)
,Risk_management
,Hedge_fund
,Short_(finance)
,Margin_(finance)
,Initial_public_offering
,Stock_split
,Share_buyback
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
# ============================================================================,
