label,lane,status,spec_hash,oos_sharpe_raw,oos_sharpe_delisting_adjusted,total_return,max_drawdown,turnover_mean,n_kept_folds,n_rejected_folds,gating_passes,error
disc-mom-bme-mcap0-flat,discovery,ok,fde17d81681f5632e075e9b5f5dfd92a93122b6d48e83d372b8821464b1812c9,-0.33237919010229855,-0.3749626608819006,,,,21,0,False,
disc-mom-bme-mcap0-flat-overlay,discovery,ok,2073924cb3b8af880dfb419c9fd8781f5ad4215666037d84903d908aeed89f02,-0.33237919010229855,-0.3749626608819006,,,,21,0,False,
disc-mom-bme-mcap0-abdi_ranaldo,discovery,ok,ff3d6d7cd5d969c566ef761aace86cd52a7678181682302c0b170ac75c315893,0.77070649124188,0.726417293346341,,,,21,0,False,
disc-mom-bme-mcap0-abdi_ranaldo-overlay,discovery,ok,1aafe99fb793fad6fd08d6ed454319ab98476c28c9e904ee26fbb8698d6388b0,0.77070649124188,0.726417293346341,,,,21,0,False,
disc-mom-bme-mcap20-flat,discovery,ok,c6f98625fd9e029a2e3853f6aae109715ff4cab71ef2bd518e6740cbd51992af,0.03189416885326699,-0.0064396097523215555,,,,9,3,False,
disc-mom-bme-mcap20-flat-overlay,discovery,ok,75dcdf63cca5bfcee9b5b027296ac583594be605dfecff805d4a873e225125fb,0.03189416885326699,-0.0064396097523215555,,,,9,3,False,
disc-mom-bme-mcap20-abdi_ranaldo,discovery,ok,a35ad1962a5f47e780d14c0d0dab08faac1355cd225a4ee033bcd39b6d082b17,0.6530593058464599,0.614498181197875,,,,9,3,False,
disc-mom-bme-mcap20-abdi_ranaldo-overlay,discovery,ok,fdc949c8fbca8c3df6f225f24c8d24b608f5abb1fbb77c5d23351394162ed4bb,0.6530593058464599,0.614498181197875,,,,9,3,False,
disc-mom-bqe-mcap0-flat,discovery,ok,19668ccbf16a80d03fc2fc0ac0ea619ffbbfa5ca418eb4a1dad0d021d21a4077,0.15580027600511934,0.13414635506047076,,,,21,0,False,
disc-mom-bqe-mcap0-flat-overlay,discovery,ok,eb1db99565ff21eaf75e29c8da2f9d9b72682cb7bf1c25dc116551aeedab5681,0.15580027600511934,0.13414635506047076,,,,21,0,False,
disc-mom-bqe-mcap0-abdi_ranaldo,discovery,ok,6c4fb7d19fd42d95407a8cfc85aba56ff8fccab50c030054b34673e7999f169d,1.0634602969716105,1.0416617160626114,,,,21,0,False,
disc-mom-bqe-mcap0-abdi_ranaldo-overlay,discovery,ok,c3fda9bffbbc24bf072cdac9c0879ffe3186f1fedcd60d9c2d5b806fe8a910df,1.0634602969716105,1.0416617160626114,,,,21,0,False,
disc-mom-bqe-mcap20-flat,discovery,ok,3bff4cb0483f8135cec499bbc01cc2eb63d4162dbcb2356985b9eb935c0e61cf,0.22431032940998263,0.19146279224189158,,,,9,3,False,
disc-mom-bqe-mcap20-flat-overlay,discovery,ok,4bf48c80223f62aa53e897c738a2326dce22899f054fa438ffa4fde426158e94,0.22431032940998263,0.19146279224189158,,,,9,3,False,
disc-mom-bqe-mcap20-abdi_ranaldo,discovery,ok,664781834aa6d9f5d3c2cabba2c8ff5b8694351412f43bd32c801254599f7df0,1.1317592011345128,1.0990201110513087,,,,9,3,False,
disc-mom-bqe-mcap20-abdi_ranaldo-overlay,discovery,ok,fb4c48fec3b96830f6c0bfbd1d70a741edec53e7f17b7aaa5d858bd841642097,1.1317592011345128,1.0990201110513087,,,,9,3,False,
disc-mom-s3-bme-mcap0-flat,discovery,ok,682e06dfa68e4f22119ba8464641d04e7e8dbef1f25fb7671fb094e1130e140e,-0.08094800555478653,-0.12398367687275341,,,,21,0,False,
disc-mom-s3-bme-mcap0-flat-overlay,discovery,ok,da0793a8aead11858a69b71b23a67b054648ef1ae89f199bcd8612b47303f3e2,-0.08094800555478653,-0.12398367687275341,,,,21,0,False,
disc-mom-s3-bme-mcap0-abdi_ranaldo,discovery,ok,611372b8343b03d2b63483db9a1b58a3b58f8f9b64198a23c3d4827301b2ef63,0.8172038781093508,0.77250046649346,,,,21,0,False,
disc-mom-s3-bme-mcap0-abdi_ranaldo-overlay,discovery,ok,9451f7910786cc3cb444d50599fec0164a8d97f79bb97cc4485f743202e54de9,0.8172038781093508,0.77250046649346,,,,21,0,False,
disc-mom-s3-bme-mcap20-flat,discovery,ok,a8598b56d7617988763941fa1c309f155a8bb78f77da8344f1bb07a163098a78,0.20134583653610583,0.1593240473729883,,,,9,3,False,
disc-mom-s3-bme-mcap20-flat-overlay,discovery,ok,4f9f687922962af8adae97570e1a2d474700248a2c87398079fa51eae5646ced,0.20134583653610583,0.1593240473729883,,,,9,3,False,
disc-mom-s3-bme-mcap20-abdi_ranaldo,discovery,ok,04b02b8493f662e3391efeca4c60496916471008d12f98622e452e2a4ace26e5,0.7331492989987363,0.6914060376381338,,,,9,3,False,
disc-mom-s3-bme-mcap20-abdi_ranaldo-overlay,discovery,ok,4844a6fba784c22b4568359e309c38a694f63d49c8a343d22a689521ce4b8d72,0.7331492989987363,0.6914060376381338,,,,9,3,False,
disc-mom-s3-bqe-mcap0-flat,discovery,ok,3783e638e4b0930067f8f7871bd70c92f7fda15889fddafd7678087aef6723b2,0.4160726031027758,0.39388126071129215,,,,21,0,False,
disc-mom-s3-bqe-mcap0-flat-overlay,discovery,ok,07bc0a69fdd7b87a8280a6acddcd46a3d8add4cdac08bccaf90de42dd72550a9,0.4160726031027758,0.39388126071129215,,,,21,0,False,
disc-mom-s3-bqe-mcap0-abdi_ranaldo,discovery,ok,23470d5e6ec1997ca5b09541e5e08deb6bc637f4f900ebb019c004f46bd5c759,1.124223972548926,1.1017738269414645,,,,21,0,False,
disc-mom-s3-bqe-mcap0-abdi_ranaldo-overlay,discovery,ok,61b1105b2e59cbdd973800b719db4f25dc5d50617a57a388dba71adc5402b47b,1.124223972548926,1.1017738269414645,,,,21,0,False,
disc-mom-s3-bqe-mcap20-flat,discovery,ok,944e234ba2962b5f51cbf93d8a38b466faa52be1d56197fe647c6567e3886ceb,0.6825038861574609,0.6495192529845573,,,,9,3,False,
disc-mom-s3-bqe-mcap20-flat-overlay,discovery,ok,a2c14e80524a536852c802143f347ad0f88c8167b1886c211a49c52dd639f04e,0.6825038861574609,0.6495192529845573,,,,9,3,False,
disc-mom-s3-bqe-mcap20-abdi_ranaldo,discovery,ok,3ebeace0f1df54d9f3379e6c72c3348faf4ab7d40c4a586edc2e49af1c3fccac,1.3829010613967476,1.3502929111860171,,,,9,3,False,
