date,ticker,feature,flag_type,duplicate_count,numeric_value,score
2018-03-06,,2008_financial_crisis_wiki_views,robust_zscore,,1523.0,30.6054375
2019-04-17,,2008_financial_crisis_wiki_views,robust_zscore,,543.0,9.948875
2019-07-10,,2008_financial_crisis_wiki_views,robust_zscore,,794.0,15.239484375
2019-11-20,,2008_financial_crisis_wiki_views,robust_zscore,,468.0,8.368015625
2019-11-25,,2008_financial_crisis_wiki_views,robust_zscore,,474.0,8.494484374999999
2020-08-10,,2008_financial_crisis_wiki_views,robust_zscore,,918.0,17.853171875
2022-05-05,,2008_financial_crisis_wiki_views,robust_zscore,,945.0,18.42228125
2023-03-11,,2008_financial_crisis_wiki_views,robust_zscore,,636.0,11.909140625
2023-03-13,,2008_financial_crisis_wiki_views,robust_zscore,,630.0,11.782671875
2025-01-30,,2008_financial_crisis_wiki_views,robust_zscore,,1586.0,31.933359375
2025-01-31,,2008_financial_crisis_wiki_views,robust_zscore,,2260.0,46.140015625
2025-02-01,,2008_financial_crisis_wiki_views,robust_zscore,,2309.0,47.17284375
2025-02-02,,2008_financial_crisis_wiki_views,robust_zscore,,2853.0,58.63934375
2025-02-03,,2008_financial_crisis_wiki_views,robust_zscore,,4199.0,87.0105
2025-02-04,,2008_financial_crisis_wiki_views,robust_zscore,,3780.0,78.178765625
2025-02-05,,2008_financial_crisis_wiki_views,robust_zscore,,3590.0,74.173921875
2025-02-06,,2008_financial_crisis_wiki_views,robust_zscore,,3852.0,79.69639062499999
2025-02-07,,2008_financial_crisis_wiki_views,robust_zscore,,3953.0,81.82528125
2025-02-08,,2008_financial_crisis_wiki_views,robust_zscore,,2985.0,61.42165625
2025-02-09,,2008_financial_crisis_wiki_views,robust_zscore,,3217.0,66.31178125
2025-02-10,,2008_financial_crisis_wiki_views,robust_zscore,,3702.0,76.534671875
2025-02-11,,2008_financial_crisis_wiki_views,robust_zscore,,3684.0,76.155265625
2025-02-12,,2008_financial_crisis_wiki_views,robust_zscore,,3806.0,78.726796875
2025-02-13,,2008_financial_crisis_wiki_views,robust_zscore,,3544.0,73.204328125
2025-02-14,,2008_financial_crisis_wiki_views,robust_zscore,,3275.0,67.5343125
2025-02-15,,2008_financial_crisis_wiki_views,robust_zscore,,2804.0,57.606515625
2025-02-16,,2008_financial_crisis_wiki_views,robust_zscore,,3245.0,66.90196875
2025-02-17,,2008_financial_crisis_wiki_views,robust_zscore,,3520.0,72.698453125
2025-02-18,,2008_financial_crisis_wiki_views,robust_zscore,,3556.0,73.457265625
2025-02-19,,2008_financial_crisis_wiki_views,robust_zscore,,2781.0,57.12171875
2025-02-20,,2008_financial_crisis_wiki_views,robust_zscore,,2505.0,51.30415625
2025-02-21,,2008_financial_crisis_wiki_views,robust_zscore,,2401.0,49.11203125
2025-02-22,,2008_financial_crisis_wiki_views,robust_zscore,,2349.0,48.01596875
