feature,risk_level,reason
aquaculture_production_tonnes_arg,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_aus,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_aut,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_bel,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_bgd,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_bgr,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_bra,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_can,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_che,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_chl,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_chn,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_col,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_cri,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_cze,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_deu,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_dnk,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_esp,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_est,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_fin,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_fra,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_gbr,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_grc,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_hrv,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_hun,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_idn,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_ind,review,Slow-moving field should be checked for publication timing before use.
