source_name,row_count,date_count,date_min,date_max,ticker_count,feature_count,dataset_row_share
yf_prices,3545014,16546,1970-01-03,2026-04-18,140,8,0.7443567691054316
wikimedia_pageviews,1172934,3943,2015-07-01,2026-04-16,39,231,0.2462843200658475
yf_finances,18137,58,2014-09-30,2026-01-31,102,130,0.003808277970486213
nz_labor_stats,10100,30,1996-01-01,2025-01-01,0,56,0.0021207260022005157
nz_balance_of_payments,5601,104,2000-03-31,2025-12-31,0,39,0.0011760580532995137
nz_labor_taxation,2800,25,2000-01-01,2024-01-01,0,112,0.0005879240402140043
nz_rates_fx,1796,675,1970-01-01,2026-03-01,0,3,0.0003771112772229828
nz_gdp,1248,104,2000-01-01,2025-10-01,0,3,0.0002620461436382419
nz_tax_revenue,1244,25,2000-01-01,2024-01-01,0,52,0.00026120625215222195
nz_business_confidence,1229,778,1961-06-01,2026-03-01,0,2,0.0002580566590796469
global_aquaculture_production,1196,23,2000-01-01,2022-01-01,0,52,0.00025112755431998187
nz_pensions,556,24,2001-01-01,2024-01-01,0,47,0.00011674491655678086
nz_road_fatalities,383,383,1994-01-01,2025-11-01,0,1,8.041960978641559e-05
nz_vehicle_registrations,282,221,2007-05-01,2025-11-01,0,2,5.9212349764410436e-05
