ticker,feature,max_repeat_run,max_repeat_span_days
,2008_financial_crisis_wiki_views,3,2.0
,2008_financial_crisis_wiki_views_desktop,3,2.0
,2008_financial_crisis_wiki_views_mobile,4,3.0
,aquaculture_production_tonnes_arg,1,0.0
,aquaculture_production_tonnes_aus,1,0.0
,aquaculture_production_tonnes_aut,1,0.0
,aquaculture_production_tonnes_bel,2,365.0
,aquaculture_production_tonnes_bgd,1,0.0
,aquaculture_production_tonnes_bgr,1,0.0
,aquaculture_production_tonnes_bra,1,0.0
,aquaculture_production_tonnes_can,1,0.0
,aquaculture_production_tonnes_che,3,730.0
,aquaculture_production_tonnes_chl,1,0.0
,aquaculture_production_tonnes_chn,1,0.0
,aquaculture_production_tonnes_col,1,0.0
,aquaculture_production_tonnes_cri,1,0.0
,aquaculture_production_tonnes_cze,1,0.0
,aquaculture_production_tonnes_deu,1,0.0
,aquaculture_production_tonnes_dnk,1,0.0
,aquaculture_production_tonnes_esp,1,0.0
,aquaculture_production_tonnes_est,1,0.0
,aquaculture_production_tonnes_fin,1,0.0
,aquaculture_production_tonnes_fra,1,0.0
,aquaculture_production_tonnes_gbr,1,0.0
,aquaculture_production_tonnes_grc,1,0.0
,aquaculture_production_tonnes_hrv,1,0.0
,aquaculture_production_tonnes_hun,1,0.0
,aquaculture_production_tonnes_idn,1,0.0
,aquaculture_production_tonnes_ind,1,0.0
,aquaculture_production_tonnes_irl,1,0.0
,aquaculture_production_tonnes_isl,1,0.0
,aquaculture_production_tonnes_isr,1,0.0
,aquaculture_production_tonnes_ita,1,0.0
,aquaculture_production_tonnes_jpn,1,0.0
,aquaculture_production_tonnes_kor,1,0.0
,aquaculture_production_tonnes_ltu,1,0.0
,aquaculture_production_tonnes_lva,1,0.0
,aquaculture_production_tonnes_mex,1,0.0
,aquaculture_production_tonnes_mys,1,0.0
,aquaculture_production_tonnes_nld,1,0.0
,aquaculture_production_tonnes_nor,1,0.0
,aquaculture_production_tonnes_nzl,1,0.0
,aquaculture_production_tonnes_per,1,0.0
,aquaculture_production_tonnes_phl,1,0.0
,aquaculture_production_tonnes_pol,1,0.0
,aquaculture_production_tonnes_prt,1,0.0
,aquaculture_production_tonnes_rou,1,0.0
,aquaculture_production_tonnes_svk,1,0.0
,aquaculture_production_tonnes_svn,1,0.0
,aquaculture_production_tonnes_swe,1,0.0
,aquaculture_production_tonnes_tha,1,0.0
,aquaculture_production_tonnes_tur,1,0.0
,aquaculture_production_tonnes_twn,1,0.0
,aquaculture_production_tonnes_usa,1,0.0
,aquaculture_production_tonnes_vnm,1,0.0
,artificial_intelligence_wiki_views,2,1.0
,artificial_intelligence_wiki_views_desktop,2,1.0
,artificial_intelligence_wiki_views_mobile,2,1.0
,auckland_wiki_views,2,1.0
,auckland_wiki_views_desktop,2,1.0
,auckland_wiki_views_mobile,2,1.0
,bank_of_england_wiki_views,2,1.0
,bank_of_england_wiki_views_desktop,2,1.0
,bank_of_england_wiki_views_mobile,2,1.0
,bank_run_wiki_views,2,1.0
,bank_run_wiki_views_desktop,2,1.0
,bank_run_wiki_views_mobile,3,2.0
,bankruptcy_wiki_views,2,1.0
,bankruptcy_wiki_views_desktop,2,1.0
,bankruptcy_wiki_views_mobile,2,1.0
,bear_market_wiki_views,3,2.0
,bear_market_wiki_views_desktop,3,2.0
,bear_market_wiki_views_mobile,3,2.0
,beef_wiki_views,2,1.0
,beef_wiki_views_desktop,2,1.0
,beef_wiki_views_mobile,2,1.0
,black_monday_1987_wiki_views,2,1.0
,black_monday_1987_wiki_views_desktop,2,1.0
,black_monday_1987_wiki_views_mobile,2,1.0
,bond_market_wiki_views,2,1.0
,bond_market_wiki_views_desktop,2,1.0
,bond_market_wiki_views_mobile,3,2.0
,bop_capital_account_balance_revenue_minus_expenditure_sa,6,457.0
,bop_capital_account_expenditure_sa,6,457.0
,bop_capital_account_revenue_sa,8,638.0
,bop_current_account_balance_revenue_minus_expenditure_sa,0,0.0
,bop_current_account_expenditure_sa,0,0.0
,bop_current_account_revenue_sa,0,0.0
,bop_direct_investment_assets_or_net_acquisition_of_assets_sa,1,0.0
,bop_direct_investment_liabilities_or_net_incurrence_of_liabilities_sa,1,0.0
,bop_direct_investment_net_assets_minus_liabilities_sa,1,0.0
,bop_financial_account_assets_or_net_acquisition_of_assets_sa,1,0.0
,bop_financial_account_liabilities_or_net_incurrence_of_liabilities_sa,1,0.0
,bop_financial_account_net_assets_minus_liabilities_sa,1,0.0
,bop_financial_derivatives_net_assets_minus_liabilities_sa,1,0.0
,bop_goods_acquired_under_merchanting_balance_revenue_minus_expenditure_sa,5,366.0
,bop_goods_acquired_under_merchanting_revenue_sa,5,366.0
,bop_goods_balance_revenue_minus_expenditure_sa,0,0.0
,bop_goods_expenditure_sa,0,0.0
,bop_goods_revenue_sa,1,0.0
,bop_goods_sold_under_merchanting_balance_revenue_minus_expenditure_sa,5,366.0
,bop_goods_sold_under_merchanting_revenue_sa,5,366.0
,bop_net_errors_and_omissions_net_assets_minus_liabilities_sa,1,0.0
,bop_net_exports_of_goods_under_merchanting_balance_revenue_minus_expenditure_sa,5,366.0
,bop_net_exports_of_goods_under_merchanting_revenue_sa,5,366.0
,bop_other_investment_assets_or_net_acquisition_of_assets_sa,1,0.0
,bop_other_investment_liabilities_or_net_incurrence_of_liabilities_sa,1,0.0
,bop_other_investment_net_assets_minus_liabilities_sa,1,0.0
,bop_portfolio_investment_assets_or_net_acquisition_of_assets_sa,1,0.0
,bop_portfolio_investment_liabilities_or_net_incurrence_of_liabilities_sa,1,0.0
,bop_portfolio_investment_net_assets_minus_liabilities_sa,1,0.0
,bop_primary_income_balance_revenue_minus_expenditure_sa,1,0.0
,bop_primary_income_expenditure_sa,1,0.0
,bop_primary_income_revenue_sa,1,0.0
,bop_reserve_assets_assets_or_net_acquisition_of_assets_sa,2,92.0
,bop_secondary_income_balance_revenue_minus_expenditure_sa,2,92.0
,bop_secondary_income_expenditure_sa,1,0.0
,bop_secondary_income_revenue_sa,1,0.0
,bop_services_balance_revenue_minus_expenditure_sa,0,0.0
,bop_services_expenditure_sa,0,0.0
,bop_services_revenue_sa,1,0.0
,brexit_wiki_views,3,2.0
,brexit_wiki_views_desktop,2,1.0
,brexit_wiki_views_mobile,2,1.0
,china%e2%80%93_united_states_trade_war_wiki_views,2,1.0
,china%e2%80%93_united_states_trade_war_wiki_views_desktop,2,1.0
,china%e2%80%93_united_states_trade_war_wiki_views_mobile,2,1.0
,christchurch_wiki_views,2,1.0
,christchurch_wiki_views_desktop,2,1.0
,christchurch_wiki_views_mobile,2,1.0
,cloud_computing_wiki_views,2,1.0
,cloud_computing_wiki_views_desktop,2,1.0
,cloud_computing_wiki_views_mobile,2,1.0
,copper_wiki_views,2,1.0
,copper_wiki_views_desktop,2,1.0
,copper_wiki_views_mobile,2,1.0
,credit_crunch_wiki_views,3,2.0
,credit_crunch_wiki_views_desktop,3,2.0
,credit_crunch_wiki_views_mobile,4,3.0
,crude_oil_wiki_views,2,1.0
,crude_oil_wiki_views_desktop,2,1.0
,crude_oil_wiki_views_mobile,3,2.0
,dairy_farming_in_new_zealand_wiki_views,3,2.0
,dairy_farming_in_new_zealand_wiki_views_desktop,3,2.0
,dairy_farming_in_new_zealand_wiki_views_mobile,3,2.0
,dairy_wiki_views,2,1.0
,dairy_wiki_views_desktop,2,1.0
,dairy_wiki_views_mobile,3,2.0
,default_finance_wiki_views,3,2.0
,default_finance_wiki_views_desktop,3,2.0
,default_finance_wiki_views_mobile,3,2.0
,deflation_wiki_views,2,1.0
,deflation_wiki_views_desktop,3,2.0
,deflation_wiki_views_mobile,2,1.0
,economic_bubble_wiki_views,2,1.0
,economic_bubble_wiki_views_desktop,3,2.0
,economic_bubble_wiki_views_mobile,2,1.0
