feature,observation_dates,series_count,gap_count,median_gap_days,gap_p90_days,max_gap_days,irregularity_ratio,frequency_label
2008_financial_crisis_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
2008_financial_crisis_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
2008_financial_crisis_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
adj_close,16546,140,590136,1.0,3.0,29.0,0.9255267568153958,daily
annual_amortization,32,73,181,365.0,366.0,731.0,0.10458742591865831,quarterly_or_slower
annual_amortization_of_intangibles_income_statement,32,72,180,365.0,366.0,731.0,0.10487370680267964,quarterly_or_slower
annual_average_dilution_earnings,4,1,3,365.0,365.8,366.0,0.0012915192350439223,quarterly_or_slower
annual_basic_average_shares,39,101,288,365.0,366.0,731.0,0.10955147796048377,quarterly_or_slower
annual_basic_eps,38,101,288,365.0,366.0,731.0,0.1095526480667742,quarterly_or_slower
annual_credit_losses_provision,4,1,3,365.0,365.8,366.0,0.0012915192350439223,quarterly_or_slower
annual_depreciation_amortization_depletion_income_statement,35,89,240,365.0,366.0,731.0,0.09637709108775269,quarterly_or_slower
annual_depreciation_and_amortization_in_income_statement,35,91,246,365.0,366.0,731.0,0.09520835390288634,quarterly_or_slower
annual_depreciation_income_statement,35,90,246,365.0,366.0,731.0,0.09520835390288634,quarterly_or_slower
annual_diluted_average_shares,38,101,286,365.0,366.0,1096.0,0.1708805256484539,quarterly_or_slower
annual_diluted_eps,39,101,291,365.0,366.0,1096.0,0.1240437185318951,quarterly_or_slower
annual_diluted_niavailto_com_stockholders,23,8,22,365.0,366.0,366.0,0.0013179334052625608,quarterly_or_slower
annual_dividend_income,19,8,17,365.0,366.0,731.0,0.2357005309765348,quarterly_or_slower
annual_ebit,35,92,261,365.0,366.0,731.0,0.07554473308419012,quarterly_or_slower
annual_ebitda,35,92,261,365.0,366.0,731.0,0.07554473308419012,quarterly_or_slower
annual_fees_and_commissions,21,9,22,365.0,366.0,366.0,0.0013179334052625608,quarterly_or_slower
annual_feesand_commission_expense,19,6,16,365.0,366.0,366.0,0.0013263641596600742,quarterly_or_slower
annual_feesand_commission_income,9,4,9,365.0,366.0,366.0,0.0012915192350439223,quarterly_or_slower
annual_foreign_exchange_trading_gains,4,1,3,365.0,365.8,366.0,0.0012915192350439223,quarterly_or_slower
annual_gain_on_sale_of_business,2,1,1,365.0,365.0,365.0,0.0,quarterly_or_slower
annual_gain_on_sale_of_security,14,5,12,365.0,366.0,731.0,0.27687014201705346,quarterly_or_slower
annual_general_and_administrative_expense,40,97,255,365.0,366.0,731.0,0.13161577791919377,quarterly_or_slower
annual_impairment_of_capital_assets,21,48,56,365.0,548.5,1096.0,0.44084084215224106,quarterly_or_slower
