ticker,company_name,listed_date,delisted_date,reason,reason_detail,sector,last_traded_price_nzd,price_12m_prior_nzd,terminal_return_12m,terminal_return_from_peak,peak_price_nzd,ipo_price_nzd,factor_value_quintile,factor_momentum_quintile,factor_quality_quintile,factor_size_quintile,notes,source
CBL,CBL Corporation,2015-10-13,2019-11-01,involuntary,Liquidation - FMA investigation into insurance reserves fraud,Insurance,0.00,3.20,-1.00,-1.00,4.58,3.45,Q5_value_trap,Q3_neutral_before_crash,Q4_poor,Q3_midcap,"IPO Oct 2015 at $3.45. Peak $4.58 Nov 2017. FMA flagged solvency concerns Jan 2018. Shares suspended Feb 8 2018 at ~$1.04 after crash from ~$3.30. Voluntary admin Feb 23 2018. Liquidation 2019. Total loss. Classic value trap: appeared cheap on P/E before fraud revealed.",wikipedia+delisted.co.nz+nzx_announcements
WYN,Wynyard Group,2013-07-19,2017-05-31,involuntary,Liquidation - cash burn exhausted with no path to profitability,Technology/Software,0.00,0.95,-1.00,-1.00,3.75,1.72,N/A_no_earnings,Q1_momentum_loser,Q5_worst,Q5_smallest,"IPO Jul 2013 at $1.72. Peak ~$3.75 in 2014. Never profitable. Steady decline as revenue failed to cover cash burn. Suspended Oct 2016 at ~$0.07. Voluntary admin Oct 26 2016. Delisted May 2017. Total loss. Pre-revenue tech stock; not scorable on value or quality.",wikipedia+delisted.co.nz
PPL,Pumpkin Patch,2004-09-06,2017-06-08,involuntary,Receivership and liquidation - retail decline,Retail,0.00,0.18,-1.00,-1.00,5.10,2.57,Q5_value_trap,Q1_momentum_loser,Q5_worst,Q5_smallest,"Listed Sep 2004 at $2.57. Peak ~$5.10 in 2007. Multi-year decline in same-store sales and international expansion losses. Traded ~$0.18 in late 2015. Suspended Oct 2016 at ~$0.03. Receivership Oct 2016. Delisted Jun 2017. Total loss. Classic value trap: low P/B but deteriorating fundamentals.",wikipedia+delisted.co.nz
IQE,Intueri Education Group,2014-05-08,2017-10-16,involuntary,Liquidation - regulatory investigation into student subsidies,Education,0.00,0.15,-1.00,-1.00,2.50,2.35,Q5_value_trap,Q1_momentum_loser,Q4_poor,Q5_smallest,"IPO May 2014 at $2.35. Peak ~$2.50 shortly after listing. Regulatory investigation into student subsidy claims. Rapid decline. Shares ~$0.15 in late 2016. Liquidation announced 2017. Delisted Oct 2017. Total loss.",wikipedia+delisted.co.nz
PRC,Pike River Coal,2007-07-20,2012-02-24,involuntary,Mine disaster (29 deaths) then receivership - acquired by Solid Energy for nominal amount,Mining/Resources,0.00,1.05,-1.00,-1.00,2.70,1.00,Q4_poor,Q2_moderate,Q4_poor,Q4_small,"Listed Jul 2007. Peak ~$2.70 in 2007. Share price ~$1.05 before Nov 19 2010 mine disaster. Crashed to ~$0.15 post-disaster. Eventually delisted Feb 2012 after acquisition by Solid Energy for near-zero. Total loss for shareholders. Catastrophic event risk.",wikipedia+delisted.co.nz
VTL,VTL Group,2000-01-11,2010-09-20,involuntary,Liquidation/Receivership,Technology,0.00,0.05,-1.00,-1.00,0.50,0.50,Q5_value_trap,Q1_momentum_loser,Q5_worst,Q5_smallest,"Small technology company. Struggled commercially throughout its listing. Share price declined to near zero before receivership. Total loss.",wikipedia+delisted.co.nz
CYT,Cynotech Holdings,2000-07-25,2013-09-13,involuntary,Liquidation/Receivership,Technology,0.00,0.02,-1.00,-1.00,0.80,0.50,Q5_value_trap,Q1_momentum_loser,Q5_worst,Q5_smallest,"Originally Rocom Group. Technology company that failed to achieve commercial viability. Shares declined to near zero. Total loss. Micro-cap by end.",wikipedia+delisted.co.nz
TEN,Tenon Limited,1996-03-22,2017-07-31,involuntary,Wound down operations - effective liquidation,Timber/Forest Products,0.15,0.18,-0.17,-0.97,5.50,3.00,Q5_value_trap,Q1_momentum_loser,Q4_poor,Q5_smallest,"Formerly Fletcher Challenge Forests. Long decline over 20+ years. Shareholders received ~US$4.7M total distribution which was a tiny fraction of historical market cap. Effective total loss for most holders.",wikipedia+delisted.co.nz+nbr
FMS,Future Mobility Solutions,1994-07-10,2019-10-30,voluntary,Corporate decision - commercially unviable,Technology/Automotive,0.01,0.02,-0.50,-0.99,1.50,0.50,Q5_value_trap,Q1_momentum_loser,Q5_worst,Q5_smallest,"Long-listed company that changed strategies multiple times. Shares were near-worthless by delisting. Effective total loss for long-term holders.",wikipedia+delisted.co.nz
WTL,Windflow Technology,2003-02-12,2018-11-28,voluntary,Corporate decision - commercially unviable wind turbine manufacturer,Energy/Manufacturing,0.005,0.01,-0.50,-1.00,3.50,1.00,Q5_value_trap,Q1_momentum_loser,Q5_worst,Q5_smallest,"Wind turbine manufacturer that never achieved commercial scale. Peak ~$3.50 in 2007 clean energy boom. Steady decline to near zero. Voluntarily delisted Nov 2018. Effective total loss.",wikipedia+delisted.co.nz
SGL,Speirs Group,2003-07-28,2016-07-29,voluntary,Corporate decision,Technology,0.02,0.03,-0.33,-0.98,1.00,0.50,Q5_value_trap,Q1_momentum_loser,Q5_worst,Q5_smallest,"Small technology company. Shares declined to near zero. Voluntarily delisted. Near-total loss for shareholders.",wikipedia+delisted.co.nz
SEA,Seadragon Limited,1986-10-24,2020-06-29,voluntary,Corporate decision - marine oils company struggling,Health/Nutrition,0.005,0.01,-0.50,-0.99,0.50,0.20,Q5_value_trap,Q1_momentum_loser,Q5_worst,Q5_smallest,"Marine oils company. Long decline. Shares near-worthless by delisting. Effective total loss.",wikipedia+delisted.co.nz
BRL,Bathurst Resources,2013-06-21,2015-07-03,voluntary,Corporate decision - struggling coal miner,Mining/Resources,0.06,0.15,-0.60,-0.85,0.40,0.25,Q5_value_trap,Q1_momentum_loser,Q4_poor,Q5_smallest,"Coal miner that struggled with NZ coal economics. Share price declined significantly during short NZX tenure. Delisted voluntarily Jul 2015.",wikipedia+delisted.co.nz+stuff.co.nz
TME,Trade Me Group,2011-12-13,2019-05-08,merger,Acquired by Titan AcquisitionCo (Apax Partners) at $6.45/share,Technology/Marketplace,6.45,5.55,0.16,0.24,6.45,2.70,Q3_neutral,Q2_moderate,Q1_best,Q2_large,"NZ's largest online marketplace. Acquired at premium. Shareholders received $6.45/share. Positive outcome.",wikipedia+delisted.co.nz
DIL,Diligent Corporation,2007-12-12,2016-04-14,merger,Acquired by Insight Venture Partners at US$4.90/share,Technology/Software,6.90,5.30,0.30,0.30,6.90,1.00,Q3_neutral,Q1_best,Q2_good,Q3_midcap,"Board governance software. Acquired at significant premium. Strong performance from IPO to acquisition. Positive outcome for shareholders.",wikipedia+delisted.co.nz
NPX,Nuplex Industries,1967-02-02,2016-09-13,merger,Acquired by Allnex at ~$5.55/share,Chemicals/Manufacturing,5.55,4.40,0.26,0.00,5.60,1.00,Q2_good,Q2_moderate,Q2_good,Q3_midcap,"Resins and coatings manufacturer. Well-run industrial. Acquired at premium by Allnex. Listed for nearly 50 years. Positive outcome.",wikipedia+delisted.co.nz+nbr
FPA,Fisher & Paykel Appliances,2001-12-11,2012-11-27,merger,Acquired by Haier at $1.20/share,Consumer/Appliances,1.20,0.85,0.41,0.41,1.20,1.00,Q2_good,Q2_moderate,Q3_neutral,Q3_midcap,"NZ appliance manufacturer. Shares had been depressed. Haier paid premium. Positive outcome from 12m prior but long-term holders from peak (~$4 in 2004) took significant losses.",wikipedia+delisted.co.nz
HBY,Hellaby Holdings,1994-03-31,2017-03-08,merger,Acquired by Bapcor at $3.60/share,Diversified Industrial,3.60,3.00,0.20,0.20,3.60,1.50,Q2_good,Q2_moderate,Q1_best,Q3_midcap,"Diversified industrial conglomerate. Acquired at premium by Bapcor. Clean acquisition. Positive outcome.",wikipedia+delisted.co.nz+nbr
OIC,Opus International Consultants,2007-10-30,2018-01-10,merger,Acquired by WSP Global,Engineering/Consulting,1.17,1.10,0.06,0.06,1.17,1.00,Q2_good,Q3_neutral,Q2_good,Q4_small,"Engineering consultancy. Acquired by WSP Global at modest premium. Neutral-to-positive outcome.",wikipedia+delisted.co.nz
FLI,Fliway Group,2015-04-09,2018-01-04,merger,Acquired by Yang Kee Logistics at $5.36/share,Logistics,5.36,4.50,0.19,0.19,5.36,3.70,Q3_neutral,Q2_moderate,Q2_good,Q4_small,"Logistics company. Acquired at premium. Positive outcome for shareholders.",wikipedia+delisted.co.nz+nbr
AWK,Airwork Holdings,2013-12-19,2017-11-15,merger,Acquired by Zhejiang Rifa at $4.40/share,Aviation/Services,4.40,3.50,0.26,0.26,4.40,2.35,Q2_good,Q2_moderate,Q2_good,Q4_small,"Aviation services company. Acquired at premium by Chinese buyer. Positive outcome.",wikipedia+delisted.co.nz+nbr
GFF,Goodman Fielder,2005-12-19,2015-03-19,merger,Acquired by Wilmar International and First Pacific at $0.695/share,Food/FMCG,0.70,0.65,0.08,-0.63,1.88,2.00,Q2_good,Q3_neutral,Q4_poor,Q3_midcap,"Food manufacturer. Acquired at small premium but shares had declined 63% from peak. Disappointing long-term outcome despite acquisition premium.",wikipedia+delisted.co.nz
AFF,AFFCO Holdings,1995-01-05,2010-11-03,merger,Acquired by Talley's Group,Meat Processing,0.63,0.55,0.15,0.15,0.63,0.40,Q2_good,Q3_neutral,Q3_neutral,Q4_small,"Meat processor. Acquired by Talley's. Modest premium. Neutral outcome.",wikipedia+delisted.co.nz
LNN,Lion Nathan,1981-01-01,2009-10-28,merger,Acquired by Kirin at $12.62/share,Beverages/Brewing,12.62,10.80,0.17,0.12,14.20,2.00,Q3_neutral,Q2_moderate,Q1_best,Q1_largest,"Major NZ brewer. Acquired by Japanese Kirin at premium. Positive outcome. Large cap.",wikipedia+delisted.co.nz
POA,Ports of Auckland,1993-10-01,2005-07-27,merger,Acquired by Auckland Council (taken private),Ports/Infrastructure,4.62,3.80,0.22,0.22,4.62,2.00,Q2_good,Q2_moderate,Q1_best,Q2_large,"Strategic port asset. Taken private by Auckland Council. Premium paid. Positive outcome.",wikipedia+delisted.co.nz
FTB,42 Below,2003-10-15,2006-12-21,merger,Acquired by Bacardi at $1.20/share,Beverages/Spirits,1.20,0.85,0.41,0.10,1.30,0.55,Q4_poor,Q2_moderate,Q4_poor,Q5_smallest,"Vodka brand. Acquired by Bacardi. Premium over recent trading. Growth company with limited profitability.",wikipedia+delisted.co.nz
SLI,SLI Systems,2013-05-16,2019-01-10,merger,Acquired by ESW Holding at $1.05/share,Technology/E-commerce,1.05,0.65,0.62,-0.70,3.50,1.65,Q4_poor,Q1_best,Q4_poor,Q5_smallest,"E-commerce search technology. Shares had declined significantly from peak. Acquired at premium over depressed price but major loss from peak. Mixed outcome.",wikipedia+delisted.co.nz
OHE,Orion Health Group,2011-11-26,2019-03-28,merger,Acquired by Grafton Health Holdings,Healthcare IT,0.66,0.90,-0.27,-0.88,5.50,5.20,Q5_value_trap,Q1_momentum_loser,Q4_poor,Q4_small,"Health IT company. IPO near peak at $5.20. Never achieved profitability at scale. Acquired at ~$0.66 representing ~88% loss from peak/IPO. Disappointing outcome despite being an acquisition.",wikipedia+delisted.co.nz
LPC,Lyttelton Port Company,1996-05-07,2014-11-07,merger,Acquired by Christchurch City Holdings,Ports/Infrastructure,3.70,3.25,0.14,0.14,3.70,1.50,Q2_good,Q3_neutral,Q2_good,Q4_small,"Regional port. Taken private by Christchurch City Holdings. Fair premium. Positive outcome.",wikipedia+delisted.co.nz
CHA,Charlie's Group,1983-01-01,2011-09-16,merger,Acquired by Asahi Beverages at $0.55/share,Beverages/Juice,0.55,0.30,0.83,-0.61,1.42,0.50,Q2_good,Q1_best,Q3_neutral,Q5_smallest,"Juice company. Shares had declined significantly. Acquired at premium over depressed price. Mixed outcome - good 12m return but bad long-term.",wikipedia+delisted.co.nz
FIN,Finzsoft Solutions,2000-12-28,2020-05-06,merger,Acquired by Silverlake Axis,Technology/Software,0.75,0.60,0.25,-0.25,1.00,0.80,Q3_neutral,Q2_moderate,Q3_neutral,Q5_smallest,"Small software company. Acquired at modest premium. Reasonable outcome.",wikipedia+delisted.co.nz
